prompt,answer
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Dringend: PyCharm 2024.2 Debugger stürzt ab
Body: PyCharm 2024.2 stürzt häufig während des Debuggens von Python-Projekten ab.
Language: de
Business type: Software Development Company

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Solicitud de soporte de configuración de alta prioridad
Body: Estimado equipo de soporte,

Tengo un ticket de alta prioridad solicitando soporte de configuración para el enrutador Cisco ISR4331 en nuestro entorno empresarial. Se necesita asistencia inmediata para asegurar un tiempo de inactividad mínimo. Por favor, consulte los detalles proporcionados en el número de ticket <ticket_number>. Contáctenme al <tel_num> o por correo electrónico a <email>.

Gracias,
<name>
Language: es
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgente: Se necesita asistencia inmediata para la falla de la aplicación de nómina
Body: Estimado soporte al cliente de la firma de consultoría de TI, Nuestro departamento de recursos humanos informa que nuestra aplicación principal de nómina ha fallado durante el procesamiento. Urgentemente requerimos su asistencia para restaurar su funcionamiento. El servicio afectado es el Servicio de Consultoría de TI proporcionado por su firma. Por favor, contáctenos lo antes posible. Para cualquier información adicional, comuníquese con <name> al <tel_num>.
Language: es
Business type: IT Consulting Firm

Answer:",Human Resources
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema de Tremulação na Tela
Body: Prezado Suporte ao Consumidor, estou enfrentando uma tremulação na tela do meu LG OLED C1, especialmente afetando o conteúdo HDR. Isso impacta severamente a qualidade da visualização. Você poderia ajudar com a resolução de problemas ou fornecer soluções potenciais? Obrigado pela sua pronta atenção. Atenciosamente, <name>
Language: pt
Business type: Tech Online Store

Answer:",Sales and Pre-Sales
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Dell XPS 13 Keyboard Issue
Body: Dear Customer Support,

I hope this finds you well. I recently purchased a Dell XPS 13 9310 from your store, but I am experiencing issues with its keyboard. It's unresponsive, and I believe it needs a replacement. Could you assist me with the process of resolving this issue? My account number is <acc_num>. Thank you in advance for your cooperation.

Best regards,
<name>
<tel_num>
Language: en
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema urgente de EC2
Body: Estimado equipo de Servicios de TI, estoy experimentando problemas con una instancia de EC2 que no responde. Requiero asistencia urgente con mi entorno de AWS Management Service. Por favor, comuníquense conmigo lo antes posible. Saludos cordiales, <name>.
Language: es
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema na Bateria do MacBook Air
Body: Caro Suporte ao Cliente, Estou enfrentando um problema com a bateria do meu MacBook Air M1. Ela não carrega além de 50%, mesmo depois de deixá-la conectada durante a noite. Por favor, ajudem a resolver este problema rapidamente. Meu número de conta é <acc_num>. Obrigado.
Language: pt
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Support urgent nécessaire
Body: Cher service client, Mon écran tactile de Microsoft Surface Pro 7 ne répond pas et l'appareil plante fréquemment. J'ai besoin d'un support technique immédiat pour résoudre ces problèmes. Mon nom est <name>, le numéro de contact est <tel_num>. Merci. Cordialement, <name>.
Language: fr
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Issues with Newly Purchased MacBook Air M1
Body: Dear Tech Online Store Support, I recently purchased a MacBook Air M1, but I'm experiencing problems. The keyboard is non-reactive at times, and the battery life is disappointingly short. Can you assist with resolving these issues? Received under Order #<acc_num>. Please contact me at <tel_num>. Thank you. Best, <name>.
Language: en
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Billing Discrepancy on AWS Management Service
Body: Dear Customer Support, 

I am writing to report a billing discrepancy on my AWS Management Service account and allege incorrect charges. Please verify the billing transactions for account <acc_num>, and process a refund if applicable. Your prompt attention to this matter would be appreciated. 

Thank you.

Sincerely, 
<name>
Language: en
Business type: IT Services

Answer:",Billing and Payments
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgent Assistance Required
Body: Dear Customer Support, 

We urgently need assistance in configuring routing tables for our Cisco ISR4331 router. This is critical for maintaining network operations at a client's site. Please prioritize this request as it impacts our service delivery. 

Details of the router: Cisco ISR4331.

Thank you, 

<name>, IT Consulting Firm. 
<tel_num>
Language: en
Business type: IT Consulting Firm

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema de Cobrança em Dobro
Body: Olá Suporte ao Cliente,

Notei que fui cobrado duas vezes pela renovação da minha assinatura do Adobe Photoshop 2024 dentro do mesmo ciclo de cobrança. Você poderia ajudar a resolver esse problema?

Obrigado,
<name>
Language: pt
Business type: Tech Online Store

Answer:",Billing and Payments
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema de Erro de Servidor
Body: Caro Suporte ao Cliente,

Nosso Serviço de Consultoria de TI está enfrentando um erro de servidor ao tentar extrair documentos de arquivos de usuários enquanto utiliza o Slack. Os produtos afetados incluem Videoconferência, Webinars, Compartilhamento de Tela e Chat.

Por favor, nos ajude prontamente.

Obrigado,
<name>
Language: pt
Business type: IT Services

Answer:",Service Outages and Maintenance
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Smart TV Bildschirmflackern
Body: Kundenunterstützung benötigt für das Flackern des Samsung QLED QN90A.
Language: de
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgente: Problema de reinicio del enrutador
Body: Estimado Soporte al Cliente, 
Nuestro enrutador Cisco ISR4331 se ha reiniciado inesperadamente varias veces, lo que ha impactado gravemente la conectividad de nuestra red empresarial crítica para la misión. Requerimos una solución urgente. 
Atentamente, 
<name> 
Teléfono: <tel_num>
Language: es
Business type: IT Consulting Firm

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Surface Pro 7 Issue
Body: Dear Customer Support, my Microsoft Surface Pro 7's touchscreen remains unresponsive after both a system reboot and a firmware update. Could you please provide guidance on resolving this issue? Thank you, <name> <tel_num> <acc_num>
Language: en
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Request for Exchange Due to Multiple Issues
Body: Dear Customer Support, 

I’m facing issues with my HP DeskJet 3755. It has a poor wireless connection and frequent paper jams. I would like to request an exchange. Please contact me at <tel_num> regarding this matter.

Thank you,
<name>
Language: en
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Asistencia Urgente Necesaria para AWS
Body: Estimado equipo de soporte de servicios de TI,

Mi nombre es <name>, y necesito urgentemente asistencia respecto a los Servicios de Administración de AWS. Actualmente estamos enfrentando desafíos para optimizar nuestros costos de AWS y necesitamos ayuda para implementar una nueva infraestructura escalable. Esto está afectando críticamente nuestras operaciones y requiere atención inmediata.

¿Podrían, por favor, acelerar esta solicitud y proporcionar el apoyo necesario lo antes posible? Si es necesario, puedo ser contactado al <tel_num> para más detalles.

Espero su pronta asistencia.

Saludos cordiales,
<name>
Language: es
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgent: Router Connectivity Issue
Body: Dear IT Services Support, 

We are experiencing frequent disconnections with our Cisco Router ISR4331, which is severely disrupting our network services. This issue requires immediate resolution to maintain stable enterprise connectivity.

Please look into this matter urgently. 

Sincerely,
<name>
Account Number: <acc_num>
Phone: <tel_num>
Language: en
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Dell XPS 13 9310 Boot Issue
Body: {""name"" has reported that their Dell XPS 13 9310 has stopped booting and shows a blue screen error following a Windows 10 update. The issue seems critical and needs immediate attention. Could you please assist in resolving this matter as soon as possible? Thank you for your support. Contact at <tel_num> or via email for further details.}
Language: en
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Review Needed for Server Configuration
Body: Dear IT Services Support, 

Our client, <name>, is experiencing interruptions with their collaboration tools. We believe the solution possibly lies in the server configuration settings. We request a thorough review of the IT Consulting Service configuration to resolve this issue promptly. Please advise on the best course of action and provide any necessary instructions.

Thank you,
<name>
<tel_num>
Language: en
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problème de lenteur de chargement dans Jira Software
Body: Cher Support Client,

J'éprouve une lenteur significative lors du chargement des tableaux de gestion de projet dans Jira Software 8.20. Ce problème est devenu apparent juste après les récentes mises à jour de vérification de disponibilité hebdomadaires. Pourriez-vous s'il vous plaît enquêter et résoudre ce problème dès que possible ? Votre assistance rapide serait grandement appréciée.

Merci,

<name>
Numéro de compte : <acc_num>
Téléphone : <tel_num>
Language: fr
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema de Parpadeo de Pantalla
Body: Hola Servicio al Cliente,

Recientemente actualicé mi Dell XPS 13 9310 y ahora estoy experimentando un parpadeo intermitente en la pantalla que afecta gravemente la usabilidad. Este problema comenzó inmediatamente después de la actualización. No estoy seguro si se debe a hardware o software, pero necesito asistencia lo antes posible. Por favor, proporcione orientación sobre la solución de problemas o inicie una reparación si es necesario.

Gracias,
<name>
<tel_num>
<acc_num>
Language: es
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema de Tela Sensível ao Toque Não Responsiva no Surface Pro 7
Body: Caro Suporte ao Cliente,

Estou enfrentando uma tela sensível ao toque não responsiva no meu Microsoft Surface Pro 7. Apesar de várias reinicializações, o problema persiste. Sua assistência para resolver este problema seria muito apreciada. Obrigado.

Atenciosamente,
<name>
Language: pt
Business type: IT Services

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema de conectividad de la impresora después de la actualización
Body: Hola, estoy experimentando problemas con mi impresora Canon PIXMA MG3620. Desde la última actualización de firmware, ya no se conecta a WiFi. Este problema me impide utilizar sus capacidades de impresión inalámbrica y a doble cara. He intentado restablecer la impresora y mi red, pero el problema persiste. ¿Puede ayudarme a resolver este problema lo antes posible? Gracias, <name>, <tel_num>, <acc_num>
Language: es
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problem mit dem Dell XPS 13 9310 Bildschirmflimmern
Body: Sehr geehrter Kunde des Tech Online Store, ich habe intermittierendes Bildschirmflimmern bei meinem Dell XPS 13 9310. Dieses Problem verursacht erhebliche Unannehmlichkeiten bei der Arbeit. Ihre schnelle Unterstützung zur Lösung dieser Angelegenheit wäre sehr willkommen. Vielen Dank. Mit freundlichen Grüßen, <name>
Language: de
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema Urgente: Adobe Photoshop 2024 Se Cierra al Iniciar
Body: Estimado Equipo de Soporte,

Estoy experimentando cierres continuos con Adobe Photoshop 2024 después de la actualización reciente. Este problema está afectando significativamente mi trabajo. Solicito una resolución urgente. Mis datos son los siguientes:

Nombre: <name>,
Teléfono: <tel_num>,
Número de Cuenta: <acc_num>.
Gracias por su pronta asistencia.

Atentamente,
<name>
Language: es
Business type: IT Services

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Defektes Dell XPS 13 9310
Body: Sehr geehrter Tech Online Store Support,

Ich habe ein Dell XPS 13 9310 mit einem defekten Display erhalten. Bitte arrangieren Sie so schnell wie möglich einen Austausch. Meine Bestellnummer ist <order_num>. Zögern Sie nicht, mich unter <email> oder <tel_num> zu kontaktieren, wenn Sie weitere Informationen benötigen.

Mit freundlichen Grüßen,
<name>
Language: de
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Stromproblem mit Dell XPS 13 9310
Body: Liebes Tech Online Store Support-Team, ich habe Stromprobleme mit meinem Dell XPS 13 9310. Obwohl er vollständig aufgeladen ist, lässt sich der Laptop nicht einschalten. Bitte geben Sie mir Anweisungen, wie ich vorgehen soll. Danke, <name>.
Language: de
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Asistencia para optimizar los costos de infraestructura en la nube
Body: Estimado equipo de soporte de Servicios de TI,

Estoy escribiendo para solicitar su asistencia con la optimización de nuestros costos de infraestructura en la nube y habilitar una gestión eficiente de los servicios en la nube en nuestra cuenta de AWS. Hemos estado analizando nuestros gastos y hemos notado la necesidad de una mejor gestión de costos. El producto que estamos utilizando es el Servicio de Gestión de AWS. ¿Podrían proporcionar orientación o recursos para ayudarnos a lograr esto? Estamos ansiosos por implementar estrategias que mejoren nuestra eficiencia operativa y reduzcan costos innecesarios.

Gracias por su apoyo. Esperamos su pronta respuesta.

Atentamente,
<name>
<tel_num>
<acc_num>
Language: es
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Dringend: Hardwarefehler am Dell XPS 13 9310
Body: Sehr geehrte IT-Services, unser Dell XPS 13 9310 hat gelegentliches Bildschirmflimmern und intermittierende drahtlose Verbindungsprobleme. Bitte teilen Sie uns die nächsten Schritte zur Behebung dieser Probleme mit. Mit freundlichen Grüßen, <name>, <company name>, <email_address>, <phone_number>. Vielen Dank.
Language: de
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Solicitação de Especificações e Personalização do MacBook Air M1
Body: Caro time de suporte da Tech Online Store,

Estou interessado em comprar um MacBook Air M1 e gostaria de especificações detalhadas e informações sobre as opções de personalização disponíveis. Você poderia, por favor, fornecer essas informações?

Obrigado pela sua assistência.

Atenciosamente,
<name>
Language: pt
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Demande de mise à niveau de PyCharm
Body: Cher Équipe de Support,

Je souhaite initier une demande de mise à niveau de la version 2024.1 de PyCharm vers la version 2024.2. La dernière version offre des capacités d'analyse de code et de débogage améliorées qui sont critiques pour mon travail.

J'apprécie votre aide dans cette affaire.

Cordialement,
<name>
Language: fr
Business type: Software Development Company

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problème d'alimentation avec Dell XPS 13 9310
Body: Cher équipe de support du Tech Online Store, je rencontre des problèmes d'alimentation avec mon Dell XPS 13 9310. Bien qu'il soit complètement chargé, l'ordinateur portable ne s'allume pas. Merci de me conseiller sur la marche à suivre. Merci, <name>.
Language: fr
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Pobre duración de la batería en el MacBook Air M1
Body: Estimado soporte de la tienda en línea, estoy escribiendo para reportar una disminución significativa en la duración de la batería de mi MacBook Air M1 después de la última actualización. Me gustaría solicitar asistencia para resolver este problema. Mi número de cuenta es <acc_num>. Gracias, <name>, <tel_num>
Language: es
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Häufige Audio-Aussetzer während Videokonferenzen
Body: Sehr geehrtes IT-Service-Support-Team, ich erlebe häufige Audio-Aussetzer während meiner Videokonferenzen, obwohl die Netzwerkbedingungen stabil sind. Dieses Problem tritt speziell mit der Zoom-Version 5.11.0 auf. Meine Kontonummer ist <acc_num>. Könnten Sie bitte helfen, dieses anhaltende Problem zu lösen? Sie können mich jederzeit unter <tel_num> kontaktieren. Ihre dringende Aufmerksamkeit für dieses Anliegen würde sehr geschätzt werden. Vielen Dank, <name>.
Language: de
Business type: IT Services

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Hilfe und Optimierung für die AWS-Infrastruktur
Body: Lieber Kundenservice, wir benötigen fachkundige Hilfe bei der Einrichtung und Optimierung unseres AWS Management Service Angebots für einen Kunden. Unser Ziel ist es, die Leistung zu verbessern und die Kosten zu senken. Wir freuen uns auf Ihre schnelle Unterstützung. Mit freundlichen Grüßen, <name>
Language: de
Business type: IT Consulting Firm

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Defektes MacBook Air M1
Body: Sehr geehrter Kundenservice,

ich habe kürzlich ein defektes MacBook Air M1 aus Ihrem Geschäft erhalten. Der Bildschirm flackert ständig, und die Tastatur ist nicht funktionsfähig. Meine Kontonummer ist <acc_num>. Bitte teilen Sie mir mit, wie ich mit einem Ersatz oder einer Rückerstattung verfahren soll.

Vielen Dank,
<name>
Language: de
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Double Billing Issue
Body: Hello Customer Support,

I noticed that I was billed twice for my Adobe Photoshop 2024 subscription renewal within the same billing cycle. Could you please assist in resolving this issue?

Thank you,
<name>
Language: en
Business type: Tech Online Store

Answer:",Billing and Payments
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Anfrage zu den Spezifikationen und Anpassungsoptionen des MacBook Air M1
Body: Sehr geehrtes Support-Team des Tech Online Stores,

ich interessiere mich für den Kauf eines MacBook Air M1 und hätte gerne detaillierte Spezifikationen sowie Informationen zu den verfügbaren Anpassungsoptionen. Könnten Sie mir bitte diese Informationen zur Verfügung stellen?

Vielen Dank für Ihre Unterstützung.

Mit freundlichen Grüßen,
<name>
Language: de
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Solicitud de intercambio debido a múltiples problemas
Body: Estimado Servicio de Atención al Cliente,

Estoy teniendo problemas con mi HP DeskJet 3755. Tiene una mala conexión inalámbrica y atascos de papel frecuentes. Me gustaría solicitar un intercambio. Por favor, contáctenme al <tel_num> respecto a este asunto.

Gracias,
<name>
Language: es
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgente: problema con Dell XPS 13 9310
Body: Estimado Soporte de Tech Online Store,

Estoy experimentando un problema con mi Dell XPS 13 9310, que ocasionalmente se congela y interrumpe mi flujo de trabajo. ¿Podría ayudarme a diagnosticar y resolver este problema?

Gracias,
<name>
Número de cuenta: <acc_num>
Teléfono: <tel_num>
Language: es
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgent: Immediate Assistance Required for Server Downtime Issue
Body: Dear IT Services Customer Support, 

Our server, which affects our ticket system, experienced unexpected downtime today. This issue is crucial since it affects our IT Consulting Service operations. We urgently need technical support to resolve the problem and restore normal functionality.

Please prioritize this request and provide immediate assistance.

Thank you, 

<name>
Language: en
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Anfrage zur Unterstützung bei der Einrichtung
Body: Sehr geehrter Kundenservice,

Ich benötige Hilfe bei der Einrichtung meines aktuellen Kaufs eines Cisco Routers ISR4331 für die sichere Überwachung häufiger Verbindungen. Bitte führen Sie mich durch den Prozess.

Danke,
<name>
Language: de
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Adobe Photoshop 2024 Absturzproblem
Body: Hallo Kundenserviceteam,

ich habe Abstürze, wenn ich versuche, Bilder nach dem Update auf Adobe Photoshop 2024 zu exportieren. Dieses Problem beeinträchtigt meinen Arbeitsablauf erheblich und ich benötige sofortige Unterstützung, um es zu lösen. Ihre schnelle Hilfe wird geschätzt.

Danke,
<name>.
Language: de
Business type: IT Services

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgent: Issue with slow boot-up times on MacBook Air M1
Body: Dear Customer Support,

I recently purchased a MacBook Air M1 last week from your store. Unfortunately, I am experiencing very slow boot-up times with the device.

Please assist me in resolving this issue. My order number is <order_num>.

Thank you,
<name>
Language: en
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Issue with Zoom 5.11.0 during webinar
Body: Dear Support, During our recent webinar using Zoom 5.11.0, attendees experienced repeated audio cutouts and connectivity issues. Please guide us on resolving this urgent matter. Thank you, <name>
Language: en
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Changement de configuration urgent
Body: Cher support client des services informatiques, Nous avons besoin de changer d'urgence la configuration du serveur et de mettre à jour notre système dans les projets de conseil en solutions informatiques en cours. Cela a une priorité élevée en raison de besoins urgents. Le produit concerné est le service de conseil informatique. Merci, <name>.
Language: fr
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema com a Tela Sensível ao Toque do Surface Pro 7
Body: Caro suporte ao cliente, estou enfrentando problemas de sensibilidade com a tela sensível ao toque do meu Microsoft Surface Pro 7, tornando difícil o uso adequado do dispositivo. Você pode me ajudar com uma solução? Obrigado, <name>
Language: pt
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Critical performance issues with Dell XPS 13 9310
Body: Dear Customer Support, my Dell XPS 13 9310 laptop is experiencing critical performance issues and crashes frequently despite having sufficient memory and storage. Please assist me in resolving this issue as soon as possible. Thank you, <name>.
Language: en
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgent: MySQL 8.0.30 Database Downtime Issue
Body: Our main customer database, running MySQL 8.0.30, is currently down. This has led to significant uptime issues affecting several of our services and operations. We need urgent support to resolve this matter promptly.
Language: en
Business type: IT Consulting Firm

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Disputas de facturación
Body: Estimado soporte al cliente, noté discrepancias en los cargos después de experimentar limitaciones del servicio durante las horas pico en AWS Management Service. ¿Podría ayudarme a clarificar y resolver este problema? Atentamente, <name>
Language: es
Business type: IT Services

Answer:",Billing and Payments
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Demande d'échange de l'imprimante HP DeskJet 3755
Body: Cher support de la boutique en ligne Tech, je souhaite demander un échange pour mon imprimante HP DeskJet 3755. Elle se bloque fréquemment et la qualité d'impression est incohérente. Veuillez me guider sur les prochaines étapes pour échanger ce produit. Merci, <name>.
Language: fr
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Assistance pour les erreurs de facturation
Body: Cher service client, j'ai remarqué des erreurs de facturation dans mes factures de services de consultant en informatique. Pourriez-vous vérifier et corriger les charges ? Mon numéro de compte est <acc_num>. Dans l'attente de votre assistance. Cordialement, <name>.
Language: fr
Business type: IT Services

Answer:",Billing and Payments
